Ticket;Date;Close/Last;Volume;Open;High;Low
AAPL;08/11/2023;$177.79;52036670;$177.32;$178.62;$176.55
AAPL;08/10/2023;$177.97;54686850;$179.48;$180.75;$177.60
AAPL;08/09/2023;$178.19;60378490;$180.87;$180.93;$177.01
AAPL;08/08/2023;$179.80;67823000;$179.69;$180.27;$177.58
AAPL;08/07/2023;$178.85;97576070;$182.13;$183.13;$177.35
AAPL;08/04/2023;$181.99;115956800;$185.52;$187.38;$181.92
AAPL;08/03/2023;$191.17;62243280;$191.57;$192.37;$190.69
AAPL;08/02/2023;$192.58;50389330;$195.04;$195.18;$191.8507
AAPL;08/01/2023;$195.605;35281430;$196.235;$196.73;$195.28
AAPL;07/31/2023;$196.45;38824110;$196.06;$196.49;$195.26
AAPL;07/28/2023;$195.83;48291440;$194.67;$196.626;$194.14
AAPL;07/27/2023;$193.22;47460180;$196.02;$197.20;$192.55
AAPL;07/26/2023;$194.50;47471870;$193.67;$195.64;$193.32
AAPL;07/25/2023;$193.62;37283200;$193.33;$194.44;$192.915
AAPL;07/24/2023;$192.75;45505100;$193.41;$194.91;$192.25
AAPL;07/21/2023;$191.94;71951680;$194.10;$194.97;$191.23
AAPL;07/20/2023;$193.13;59581200;$195.09;$196.47;$192.495
AAPL;07/19/2023;$195.10;80507320;$193.10;$198.23;$192.65
AAPL;07/18/2023;$193.73;48353770;$193.35;$194.33;$192.415
AAPL;07/17/2023;$193.99;50520160;$191.90;$194.32;$191.81
AAPL;07/14/2023;$190.69;41616240;$190.23;$191.1799;$189.63
AAPL;07/13/2023;$190.54;41342340;$190.50;$191.19;$189.78
AAPL;07/12/2023;$189.77;60750250;$189.68;$191.70;$188.47
AAPL;07/11/2023;$188.08;46638120;$189.16;$189.30;$186.60
AAPL;07/10/2023;$188.61;59922160;$189.26;$189.99;$187.035
AAPL;07/07/2023;$190.68;46815000;$191.41;$192.67;$190.24
AAPL;07/06/2023;$191.81;45156010;$189.84;$192.02;$189.20
AAPL;07/05/2023;$191.33;46920260;$191.565;$192.98;$190.62
AAPL;07/03/2023;$192.46;31346600;$193.78;$193.88;$191.76
AAPL;06/30/2023;$193.97;85213220;$191.63;$194.48;$191.26
AAPL;06/29/2023;$189.59;46347310;$189.08;$190.07;$188.94
AAPL;06/28/2023;$189.25;51216800;$187.93;$189.90;$187.60
AAPL;06/27/2023;$188.06;50730850;$185.89;$188.39;$185.67
AAPL;06/26/2023;$185.27;48088660;$186.83;$188.05;$185.23
AAPL;06/23/2023;$186.68;53117000;$185.55;$187.56;$185.01
AAPL;06/22/2023;$187.00;51245330;$183.74;$187.045;$183.67
AAPL;06/21/2023;$183.96;49515700;$184.90;$185.41;$182.5901
AAPL;06/20/2023;$185.01;49799090;$184.41;$186.10;$184.41
AAPL;06/16/2023;$184.92;101256200;$186.73;$186.99;$184.27
AAPL;06/15/2023;$186.01;65433170;$183.96;$186.52;$183.78
AAPL;06/14/2023;$183.95;57462880;$183.37;$184.39;$182.02
AAPL;06/13/2023;$183.31;54929130;$182.80;$184.15;$182.44
AAPL;06/12/2023;$183.79;54755000;$181.27;$183.89;$180.97
AAPL;06/09/2023;$180.96;48899970;$181.50;$182.23;$180.63
AAPL;06/08/2023;$180.57;50214880;$177.895;$180.84;$177.46
AAPL;06/07/2023;$177.82;61944620;$178.44;$181.21;$177.32
AAPL;06/06/2023;$179.21;64848370;$179.965;$180.12;$177.43
AAPL;06/05/2023;$179.58;121946500;$182.63;$184.951;$178.035
AAPL;06/02/2023;$180.95;61996910;$181.03;$181.78;$179.26
AAPL;06/01/2023;$180.09;68901810;$177.70;$180.12;$176.9306
AAPL;05/31/2023;$177.25;99625290;$177.325;$179.35;$176.76
AAPL;05/30/2023;$177.30;55964400;$176.96;$178.99;$176.57
AAPL;05/26/2023;$175.43;54834980;$173.32;$175.77;$173.11
AAPL;05/25/2023;$172.99;56058260;$172.41;$173.895;$171.69
AAPL;05/24/2023;$171.84;45143490;$171.09;$172.4183;$170.52
AAPL;05/23/2023;$171.56;50747260;$173.13;$173.3794;$171.275
AAPL;05/22/2023;$174.20;43570930;$173.98;$174.71;$173.45
AAPL;05/19/2023;$175.16;55809480;$176.39;$176.39;$174.94
AAPL;05/18/2023;$175.05;65496660;$173.00;$175.24;$172.58
AAPL;05/17/2023;$172.69;57951600;$171.71;$172.925;$170.4201
AAPL;05/16/2023;$172.07;42110290;$171.99;$173.1383;$171.7991
AAPL;05/15/2023;$172.07;37266660;$173.16;$173.21;$171.47
AAPL;05/12/2023;$172.57;45533140;$173.62;$174.06;$171.00
AAPL;05/11/2023;$173.75;49514680;$173.85;$174.59;$172.17
AAPL;05/10/2023;$173.555;53724500;$173.02;$174.03;$171.90
AAPL;05/09/2023;$171.77;45326870;$173.05;$173.54;$171.60
AAPL;05/08/2023;$173.50;55962790;$172.48;$173.85;$172.11
AAPL;05/05/2023;$173.57;113453200;$170.975;$174.30;$170.76
AAPL;05/04/2023;$165.79;81235430;$164.89;$167.04;$164.31
AAPL;05/03/2023;$167.45;65136020;$169.50;$170.92;$167.16
AAPL;05/02/2023;$168.54;48425700;$170.09;$170.35;$167.54
AAPL;05/01/2023;$169.59;52472940;$169.28;$170.45;$168.64
AAPL;04/28/2023;$169.68;55275850;$168.49;$169.85;$167.8801
AAPL;04/27/2023;$168.41;64902330;$165.19;$168.56;$165.19
AAPL;04/26/2023;$163.76;45498800;$163.055;$165.28;$162.80
AAPL;04/25/2023;$163.77;48714060;$165.19;$166.305;$163.73
AAPL;04/24/2023;$165.33;41949580;$165.00;$165.60;$163.89
AAPL;04/21/2023;$165.02;58337340;$165.05;$166.4521;$164.49
AAPL;04/20/2023;$166.65;52456380;$166.09;$167.87;$165.56
AAPL;04/19/2023;$167.63;47720170;$165.80;$168.16;$165.54
AAPL;04/18/2023;$166.47;49923010;$166.10;$167.41;$165.65
AAPL;04/17/2023;$165.23;41516220;$165.09;$165.39;$164.03
AAPL;04/14/2023;$165.21;49386480;$164.59;$166.32;$163.82
AAPL;04/13/2023;$165.56;68445650;$161.63;$165.80;$161.42
AAPL;04/12/2023;$160.10;50133060;$161.22;$162.06;$159.78
AAPL;04/11/2023;$160.80;47644220;$162.35;$162.36;$160.51
AAPL;04/10/2023;$162.03;47716880;$161.42;$162.03;$160.08
AAPL;04/06/2023;$164.66;45390120;$162.43;$164.9584;$162.00
AAPL;04/05/2023;$163.76;51511740;$164.74;$165.05;$161.80
AAPL;04/04/2023;$165.63;46278300;$166.595;$166.84;$165.11
AAPL;04/03/2023;$166.17;56976190;$164.27;$166.29;$164.22
AAPL;03/31/2023;$164.90;68749790;$162.44;$165.00;$161.91
AAPL;03/30/2023;$162.36;49501690;$161.53;$162.47;$161.271
AAPL;03/29/2023;$160.77;51305690;$159.37;$161.05;$159.35
AAPL;03/28/2023;$157.65;45992150;$157.97;$158.49;$155.98
AAPL;03/27/2023;$158.28;52390270;$159.94;$160.77;$157.87
AAPL;03/24/2023;$160.25;59256340;$158.86;$160.34;$157.85
AAPL;03/23/2023;$158.93;67622060;$158.83;$161.5501;$157.68
AAPL;03/22/2023;$157.83;75701810;$159.30;$162.14;$157.81
AAPL;03/21/2023;$159.28;73938290;$157.32;$159.40;$156.54
AAPL;03/20/2023;$157.40;73641420;$155.07;$157.82;$154.15
AAPL;03/17/2023;$155.00;98944630;$156.08;$156.74;$154.28
AAPL;03/16/2023;$155.85;76254420;$152.16;$156.46;$151.64
AAPL;03/15/2023;$152.99;77167870;$151.19;$153.245;$149.92
AAPL;03/14/2023;$152.59;73695890;$151.28;$153.40;$150.10
AAPL;03/13/2023;$150.47;84457120;$147.805;$153.14;$147.70
